flag,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
N,M,0. lessHS,128402,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,Northeast,8,A
Y,M,3. Bach,308817,3upto35,Y,C,Married,Y,Sales/Service,1Low,Renter,South,2,F
Y,M,4. Grad,206271,3upto35,Y,C,Married,Y,Professional,2Med,Owner,West,4,F
N,M,1. HS,0,1_Unk,N,F,Married,U,Blue Collar,1Low,,Northeast,5,D
Y,M,2. Some College,169113,6upto65,Y,B,Married,N,Professional,1Low,Owner,Midwest,3,F
N,F,2. Some College,189878,2upto25,Y,E,,Y,Sales/Service,2Med,Owner,South,4,E
Y,F,2. Some College,94503,5upto55,Y,F,,Y,Blue Collar,1Low,Owner,Midwest,3,D
Y,M,1. HS,1076582,5upto55,Y,B,Married,Y,Professional,3High,Owner,West,1,F
Y,M,2. Some College,325081,5upto55,Y,C,Married,Y,Sales/Service,1Low,Owner,Midwest,2,J
Y,F,4. Grad,0,3upto35,Y,B,,U,Professional,1Low,,Northeast,2,E
Y,M,2. Some College,1151448,3upto35,N,B,Single,N,Professional,2Med,Owner,South,1,F
N,M,4. Grad,0,5upto55,Y,G,Single,Y,Professional,1Low,Owner,Northeast,5,D
N,M,0. lessHS,308705,1_Unk,N,C,,Y,Sales/Service,1Low,,West,1,H
Y,F,3. Bach,1500000,7above65,Y,B,Married,N,Retired,3High,Owner,South,1,L
N,F,1. HS,46662,3upto35,N,F,Married,U,Sales/Service,1Low,Renter,Midwest,3,D
Y,M,1. HS,0,4upto45,N,C,Married,Y,Sales/Service,1Low,Renter,South,3,A
N,F,2. Some College,60887,2upto25,N,G,,Y,Sales/Service,1Low,Renter,Midwest,5,D
N,M,3. Bach,778260,5upto55,N,B,Married,U,Professional,1Low,Owner,West,1,L
N,F,1. HS,90404,5upto55,Y,J,,Y,Sales/Service,1Low,Owner,South,4,E
N,F,0. lessHS,381500,6upto65,Y,D,Married,N,Retired,2Med,Owner,West,1,F
Y,M,4. Grad,371820,4upto45,N,B,Married,Y,Professional,1Low,Owner,South,1,G
N,F,3. Bach,129870,1_Unk,Y,C,,U,Sales/Service,1Low,Owner,Midwest,2,F
N,M,1. HS,0,5upto55,Y,A,Single,N,Blue Collar,1Low,Renter,Midwest,3,B
N,M,2. Some College,121398,1_Unk,N,F,Married,U,Sales/Service,1Low,,South,8,E
N,F,2. Some College,134288,6upto65,N,B,,N,Sales/Service,1Low,Owner,South,3,E
Y,F,2. Some College,274680,4upto45,Y,B,Married,Y,Professional,3High,Owner,South,1,B
N,M,2. Some College,285353,5upto55,N,I,,U,Professional,1Low,Owner,West,1,E
N,F,,582365,2upto25,N,B,,N,Professional,1Low,Owner,Northeast,1,K
Y,F,0. lessHS,356560,5upto55,Y,B,Married,Y,Sales/Service,2Med,Owner,South,1,G
N,M,1. HS,247746,5upto55,Y,B,Married,U,Blue Collar,1Low,Owner,Midwest,8,E
N,F,2. Some College,0,2upto25,Y,G,Single,Y,Sales/Service,1Low,,West,3,A
N,F,4. Grad,248520,7above65,Y,D,Married,N,Professional,1Low,Owner,Northeast,4,E
N,F,0. lessHS,0,4upto45,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,A
N,F,1. HS,0,1_Unk,Y,I,Single,U,Sales/Service,1Low,Owner,West,9,A
N,M,0. lessHS,121753,1_Unk,N,G,,Y,Sales/Service,1Low,Renter,Northeast,2,A
N,U,4. Grad,735750,1_Unk,N,B,Married,U,Professional,3High,Owner,Midwest,6,J
N,F,1. HS,36029,5upto55,Y,I,,Y,Sales/Service,1Low,Owner,South,8,B
Y,M,4. Grad,0,3upto35,Y,F,Single,U,Blue Collar,1Low,Renter,Northeast,3,D
Y,M,3. Bach,296741,6upto65,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,H
Y,M,3. Bach,1383733,6upto65,Y,B,,U,Professional,1Low,Owner,South,1,K
Y,M,3. Bach,395125,5upto55,Y,C,Married,Y,Sales/Service,3High,Owner,South,1,J
N,F,,0,4upto45,Y,I,Married,U,Blue Collar,1Low,Owner,South,3,D
N,F,2. Some College,0,2upto25,N,G,,U,Sales/Service,1Low,Renter,South,7,A
N,F,1. HS,173462,5upto55,Y,E,Married,U,Blue Collar,1Low,Owner,Midwest,5,E
N,F,1. HS,286353,5upto55,N,C,,N,Sales/Service,2Med,Owner,Northeast,1,K
N,M,3. Bach,198652,1_Unk,N,E,,U,Professional,1Low,Owner,South,1,E
Y,F,4. Grad,123377,6upto65,Y,F,Single,N,Professional,1Low,Owner,South,2,A
N,F,1. HS,87200,7above65,N,F,,N,Retired,1Low,Owner,Midwest,4,C
N,F,2. Some College,113632,6upto65,Y,F,,N,Professional,1Low,Owner,Midwest,1,E
N,M,3. Bach,143945,5upto55,Y,F,Married,N,Professional,1Low,Owner,Midwest,6,F
Y,F,3. Bach,205781,4upto45,Y,C,Married,Y,Sales/Service,1Low,Owner,South,3,G
N,F,2. Some College,333703,1_Unk,Y,E,Married,U,Sales/Service,1Low,Owner,Northeast,2,H
Y,M,3. Bach,0,4upto45,Y,C,Married,Y,Professional,1Low,Owner,Midwest,3,E
Y,M,1. HS,174814,4upto45,Y,F,Married,U,Sales/Service,1Low,,South,8,E
Y,M,3. Bach,816682,1_Unk,Y,C,Married,Y,Sales/Service,1Low,Owner,South,1,F
N,F,3. Bach,0,6upto65,Y,H,,N,Retired,1Low,Renter,South,2,C
N,F,1. HS,117027,3upto35,Y,G,,Y,Sales/Service,1Low,Owner,South,8,G
N,U,0. lessHS,97440,1_Unk,N,G,,U,Sales/Service,1Low,Renter,South,6,A
Y,M,,976912,1_Unk,Y,B,,U,Others,2Med,Owner,Midwest,1,L
Y,M,4. Grad,221836,6upto65,Y,I,Single,N,Professional,2Med,Owner,Midwest,2,F
N,F,2. Some College,654177,4upto45,N,E,Single,Y,Sales/Service,1Low,Renter,West,3,D
N,F,2. Some College,308906,4upto45,Y,D,,N,Sales/Service,1Low,Owner,West,6,B
N,U,0. lessHS,0,1_Unk,Y,F,Single,U,Sales/Service,1Low,,South,8,D
N,M,2. Some College,167533,7above65,Y,D,Married,N,Retired,1Low,Owner,Northeast,2,G
Y,M,2. Some College,425590,3upto35,N,C,,Y,Sales/Service,1Low,Owner,West,5,F
Y,F,2. Some College,199800,2upto25,Y,B,,N,Sales/Service,1Low,Owner,Northeast,3,E
N,M,0. lessHS,76590,3upto35,N,E,,Y,Professional,1Low,Owner,Midwest,2,E
N,M,0. lessHS,124488,6upto65,N,G,,N,Others,1Low,,Midwest,7,B
N,U,2. Some College,144724,1_Unk,Y,C,,Y,Sales/Service,1Low,Renter,South,2,K
N,F,1. HS,0,3upto35,N,G,Married,U,Sales/Service,1Low,Renter,South,6,C
N,M,2. Some College,131781,1_Unk,N,G,Single,Y,Blue Collar,1Low,,Midwest,9,D
N,F,2. Some College,528006,2upto25,Y,C,,U,Professional,1Low,Owner,West,1,G
N,F,2. Some College,228464,1_Unk,Y,F,Married,Y,Sales/Service,2Med,Owner,West,3,B
N,F,1. HS,0,5upto55,Y,G,,Y,Professional,1Low,,South,2,B
N,F,1. HS,0,6upto65,Y,G,Married,Y,Sales/Service,1Low,Owner,Northeast,7,B
N,F,2. Some College,476766,7above65,N,E,,N,Retired,1Low,,West,3,F
N,F,4. Grad,0,4upto45,Y,J,Married,Y,Professional,1Low,Owner,South,2,E
Y,F,3. Bach,441995,4upto45,N,B,Married,Y,Professional,1Low,Owner,South,1,E
N,F,2. Some College,0,4upto45,Y,D,,N,Professional,1Low,Renter,Northeast,6,B
Y,M,1. HS,580076,1_Unk,N,G,Single,N,Sales/Service,1Low,,West,2,E
Y,M,3. Bach,398720,5upto55,Y,C,Married,U,Sales/Service,1Low,Owner,South,1,G
Y,M,2. Some College,130980,1_Unk,N,C,Married,U,Sales/Service,1Low,Owner,South,8,E
N,M,1. HS,0,5upto55,Y,E,Married,Y,Blue Collar,1Low,Renter,Midwest,8,E
Y,M,4. Grad,1117250,6upto65,N,B,Married,N,Professional,3High,Owner,West,1,I
Y,M,,48160,1_Unk,Y,F,,Y,Others,1Low,Owner,South,1,D
N,F,3. Bach,184454,7above65,Y,I,,N,Retired,1Low,Owner,Midwest,2,D
Y,M,1. HS,298343,1_Unk,Y,C,Married,Y,Others,1Low,,West,7,D
Y,M,4. Grad,506850,3upto35,N,C,Married,Y,Professional,3High,Owner,Midwest,1,L
N,M,2. Some College,379472,5upto55,N,J,Married,Y,Professional,2Med,Owner,West,1,E
N,F,1. HS,119038,3upto35,N,I,Married,Y,Sales/Service,1Low,Renter,South,5,E
N,F,1. HS,0,2upto25,N,G,,U,Sales/Service,1Low,Renter,West,9,A
N,F,2. Some College,242006,5upto55,Y,E,Married,U,Professional,1Low,Renter,South,3,G
Y,F,4. Grad,124260,3upto35,N,E,Married,Y,Professional,1Low,Owner,Midwest,8,K
Y,F,3. Bach,90860,3upto35,Y,E,Married,Y,Professional,1Low,Renter,Midwest,6,E
N,M,,530917,5upto55,N,I,Married,U,Sales/Service,1Low,Owner,Midwest,1,G
Y,M,4. Grad,286288,4upto45,Y,E,Married,Y,Professional,1Low,Owner,West,1,F
N,F,1. HS,629998,7above65,Y,I,Married,N,Retired,1Low,Owner,Midwest,2,C
N,U,4. Grad,194238,1_Unk,N,I,,N,Sales/Service,1Low,Owner,South,2,E
N,F,,206010,3upto35,Y,B,Married,N,Sales/Service,1Low,Owner,Midwest,1,A
N,M,2. Some College,484952,2upto25,N,B,,U,Sales/Service,3High,Owner,South,1,I
Y,M,2. Some College,309451,6upto65,Y,I,Married,Y,Sales/Service,3High,Owner,Northeast,5,F
Y,F,3. Bach,185131,3upto35,Y,C,Married,Y,Blue Collar,1Low,Owner,South,5,E
N,F,2. Some College,345344,5upto55,Y,B,Married,Y,Professional,1Low,Owner,South,3,G
N,F,1. HS,442400,6upto65,Y,D,,N,Retired,1Low,Owner,South,1,H
Y,M,3. Bach,594819,6upto65,Y,C,Married,U,Professional,1Low,,Northeast,4,J
Y,U,2. Some College,1040405,1_Unk,N,C,Married,Y,Professional,1Low,Owner,West,1,J
N,M,1. HS,0,7above65,Y,A,,N,Sales/Service,1Low,Renter,Northeast,2,E
Y,M,3. Bach,356397,6upto65,Y,B,Married,N,Professional,2Med,Owner,South,1,J
Y,F,2. Some College,315105,2upto25,Y,E,Married,N,Professional,3High,Owner,South,3,F
Y,F,2. Some College,297851,5upto55,Y,C,,U,Sales/Service,3High,Owner,Rest,1,E
Y,M,1. HS,282004,5upto55,Y,C,Married,U,Retired,1Low,Owner,Midwest,1,F
N,M,2. Some College,0,4upto45,Y,G,Single,Y,Professional,1Low,Renter,Midwest,8,C
Y,F,3. Bach,0,3upto35,Y,G,Single,U,Professional,1Low,,South,3,E
Y,F,3. Bach,168512,3upto35,N,C,Married,Y,Sales/Service,1Low,Owner,South,4,E
Y,M,0. lessHS,503253,5upto55,Y,E,Married,Y,Blue Collar,3High,Owner,Northeast,3,F
N,M,2. Some College,660965,1_Unk,N,G,Married,Y,Others,1Low,Renter,Northeast,7,G
Y,M,3. Bach,887216,4upto45,Y,C,Married,Y,Professional,3High,Owner,West,2,I
N,M,0. lessHS,0,6upto65,N,H,,N,Sales/Service,1Low,,Northeast,3,D
Y,M,1. HS,221902,6upto65,Y,B,Married,N,Professional,1Low,Owner,Northeast,3,E
N,F,2. Some College,0,5upto55,Y,E,Married,Y,Blue Collar,1Low,Renter,Midwest,5,C
Y,M,2. Some College,197056,4upto45,N,E,Married,Y,Sales/Service,1Low,Renter,West,3,E
Y,M,3. Bach,145515,4upto45,Y,E,Married,Y,Professional,1Low,Owner,West,1,H
N,F,2. Some College,311304,2upto25,N,G,,Y,Sales/Service,1Low,Renter,West,6,E
Y,M,2. Some College,89925,5upto55,Y,F,,Y,Blue Collar,1Low,Owner,West,9,D
Y,F,3. Bach,255387,7above65,Y,I,Married,N,Professional,1Low,Owner,South,1,F
Y,F,4. Grad,1011672,5upto55,Y,B,,Y,Professional,3High,Owner,South,1,E
N,M,4. Grad,476733,7above65,Y,B,Married,N,Professional,1Low,Owner,Midwest,1,I
Y,M,,533664,1_Unk,N,B,Married,U,Professional,3High,Owner,West,6,H
Y,M,3. Bach,0,3upto35,Y,G,Married,U,Professional,1Low,Renter,West,8,A
N,F,4. Grad,103593,5upto55,N,F,Single,U,Sales/Service,1Low,Owner,Midwest,2,E
Y,M,1. HS,348660,6upto65,N,C,Married,N,Professional,3High,Owner,South,2,H
N,F,1. HS,0,5upto55,Y,J,Married,U,Blue Collar,1Low,Owner,South,7,D
Y,M,2. Some College,326237,6upto65,Y,E,,N,Others,1Low,Owner,South,2,E
Y,M,3. Bach,0,4upto45,N,E,Married,Y,Others,1Low,Renter,South,8,F
N,M,1. HS,102514,7above65,Y,J,,N,Retired,1Low,Owner,South,7,E
Y,M,4. Grad,238012,3upto35,Y,C,Married,Y,Professional,2Med,Owner,Midwest,1,F
Y,F,4. Grad,333801,6upto65,Y,B,Single,N,Professional,1Low,Owner,South,1,H
N,U,3. Bach,282920,1_Unk,N,G,Single,U,Professional,1Low,Renter,Midwest,8,K
N,M,0. lessHS,0,1_Unk,N,A,Single,Y,Blue Collar,1Low,,South,7,D
Y,F,4. Grad,555464,3upto35,Y,B,Married,U,Professional,3High,Owner,West,2,I
N,M,1. HS,59644,3upto35,N,D,,Y,Blue Collar,1Low,Owner,South,8,A
Y,M,4. Grad,1856444,5upto55,Y,C,Married,U,Professional,1Low,Owner,West,6,K
N,F,1. HS,260640,1_Unk,Y,B,,N,Others,2Med,Owner,West,5,D
N,M,0. lessHS,205683,3upto35,N,J,Married,U,Sales/Service,2Med,Owner,South,1,D
N,M,2. Some College,0,1_Unk,Y,E,Married,U,Professional,1Low,Renter,Midwest,5,C
N,M,0. lessHS,363460,7above65,Y,B,,N,Sales/Service,1Low,Owner,South,2,D
Y,M,4. Grad,455729,4upto45,Y,C,Married,Y,Professional,1Low,Owner,South,1,J
N,M,2. Some College,0,1_Unk,N,A,Married,U,Professional,1Low,Renter,South,8,E
Y,M,3. Bach,898814,4upto45,Y,C,Married,Y,Professional,3High,Owner,West,1,F
Y,M,3. Bach,89560,4upto45,Y,A,Single,U,Sales/Service,1Low,Owner,Midwest,1,A
N,F,2. Some College,243603,3upto35,Y,D,,N,Sales/Service,1Low,Owner,South,4,G
N,U,2. Some College,239560,1_Unk,N,A,,U,Professional,2Med,Owner,West,2,E
Y,M,1. HS,222212,1_Unk,Y,E,Married,Y,Others,2Med,Owner,Northeast,3,G
N,M,1. HS,131563,4upto45,Y,E,Married,U,Blue Collar,1Low,Owner,Midwest,1,E
N,F,2. Some College,173340,7above65,Y,D,Married,N,Sales/Service,1Low,Owner,South,2,E
Y,F,1. HS,129372,2upto25,Y,E,Married,Y,Sales/Service,1Low,Owner,Northeast,4,F
N,M,1. HS,0,5upto55,N,U,Married,0,Professional,1Low,,Midwest,0,U
N,M,2. Some College,154453,1_Unk,Y,F,,U,Professional,1Low,Owner,West,2,F
N,M,2. Some College,0,3upto35,N,G,Single,U,Sales/Service,1Low,Owner,West,3,B
Y,M,3. Bach,185300,4upto45,Y,C,Married,Y,Blue Collar,2Med,Owner,Midwest,1,G
Y,M,2. Some College,1096867,6upto65,Y,B,Married,N,Professional,2Med,Owner,Northeast,1,H
N,U,0. lessHS,502141,7above65,Y,B,,N,Retired,1Low,Owner,South,1,J
Y,F,4. Grad,223450,6upto65,Y,B,Married,Y,Professional,1Low,Owner,Midwest,1,G
N,M,2. Some College,0,1_Unk,N,F,Married,Y,Blue Collar,1Low,,South,9,C
N,M,2. Some College,261600,4upto45,N,A,Married,U,Professional,1Low,Renter,South,1,E
N,F,1. HS,144664,5upto55,Y,E,Single,N,Professional,1Low,Owner,Midwest,5,H
Y,M,3. Bach,561840,6upto65,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,F
Y,F,3. Bach,335403,1_Unk,Y,C,Married,Y,Sales/Service,1Low,,West,6,K
N,F,3. Bach,412020,7above65,Y,D,Married,N,Retired,1Low,Owner,West,3,C
Y,M,4. Grad,558494,6upto65,Y,B,Married,Y,Professional,1Low,Owner,South,1,L
Y,F,3. Bach,151467,3upto35,Y,C,Married,Y,Sales/Service,1Low,Owner,South,3,E
Y,M,2. Some College,1256225,1_Unk,Y,B,Married,N,Sales/Service,3High,Owner,West,1,L
Y,M,2. Some College,174400,2upto25,Y,B,,Y,Sales/Service,1Low,Owner,Midwest,2,F
N,F,0. lessHS,0,3upto35,N,E,Single,Y,Sales/Service,1Low,Renter,West,9,A
N,F,0. lessHS,0,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,West,9,C
Y,F,1. HS,106275,5upto55,Y,F,Married,N,Blue Collar,1Low,Owner,Northeast,3,F
Y,M,3. Bach,0,6upto65,N,E,Single,Y,Professional,1Low,Renter,Midwest,9,D
Y,F,3. Bach,428697,5upto55,Y,C,Married,Y,Professional,1Low,Owner,West,2,J
Y,M,3. Bach,500397,6upto65,Y,B,Married,N,Professional,3High,Owner,South,3,H
N,F,1. HS,67667,1_Unk,N,E,Married,Y,Sales/Service,1Low,Renter,Midwest,9,B
N,M,1. HS,33190,2upto25,Y,F,Married,N,Others,1Low,Owner,South,6,G
N,M,0. lessHS,0,1_Unk,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,F
N,F,2. Some College,45344,7above65,Y,I,Married,N,Sales/Service,1Low,Owner,South,6,A
N,F,0. lessHS,169059,1_Unk,Y,F,,Y,Sales/Service,2Med,Owner,Northeast,8,F
Y,M,4. Grad,185300,5upto55,Y,C,Married,Y,Professional,1Low,Owner,Midwest,3,I
Y,M,1. HS,374960,5upto55,N,E,Married,Y,Sales/Service,2Med,Owner,Northeast,1,E
N,M,2. Some College,119880,2upto25,Y,I,,N,Farm,1Low,Owner,Midwest,4,G
Y,M,4. Grad,220049,3upto35,Y,A,Single,N,Sales/Service,2Med,Owner,Northeast,2,A
Y,M,2. Some College,323435,5upto55,Y,C,Married,Y,Professional,1Low,Owner,South,1,F
N,M,2. Some College,0,4upto45,Y,A,Single,Y,Blue Collar,1Low,Renter,West,6,F
N,F,2. Some College,172209,6upto65,N,D,Married,N,Professional,1Low,Owner,South,1,E
N,M,3. Bach,167097,3upto35,N,B,,N,Blue Collar,1Low,Owner,Northeast,5,F
Y,M,4. Grad,273720,3upto35,Y,B,,U,Professional,1Low,Owner,Northeast,1,F
N,M,0. lessHS,798061,6upto65,Y,C,Married,Y,Retired,1Low,Renter,West,1,L
N,U,2. Some College,271846,1_Unk,Y,D,,N,Sales/Service,1Low,Owner,South,1,H
Y,M,3. Bach,438016,5upto55,Y,B,Married,U,Professional,1Low,Owner,Northeast,1,J
N,M,2. Some College,158366,4upto45,N,E,Married,Y,Blue Collar,1Low,Owner,Midwest,6,C
Y,F,1. HS,40439,6upto65,Y,B,Married,Y,Sales/Service,1Low,Owner,Midwest,2,E
Y,F,1. HS,384552,5upto55,Y,C,,U,Professional,1Low,Owner,South,1,G
Y,M,3. Bach,142080,4upto45,Y,D,,N,Professional,1Low,Owner,Midwest,1,G
N,M,4. Grad,354032,5upto55,Y,D,Married,N,Blue Collar,2Med,Owner,South,1,C
N,F,3. Bach,153802,3upto35,N,C,Married,Y,Professional,1Low,Renter,South,3,E
N,F,1. HS,0,2upto25,N,G,,U,Sales/Service,1Low,Renter,West,3,D
N,F,2. Some College,261491,5upto55,N,H,,Y,Sales/Service,1Low,Owner,West,6,E
Y,F,1. HS,0,5upto55,Y,F,Single,Y,Sales/Service,1Low,Owner,South,2,C
N,M,0. lessHS,549360,5upto55,N,F,Married,Y,Blue Collar,3High,Owner,West,2,D
Y,M,4. Grad,512300,3upto35,Y,C,,Y,Professional,3High,Owner,West,1,F
N,M,2. Some College,166116,3upto35,Y,C,Married,Y,Sales/Service,1Low,Renter,Midwest,3,E
N,F,3. Bach,298551,6upto65,Y,I,Married,Y,Professional,3High,Owner,South,2,A
N,F,4. Grad,776265,4upto45,Y,C,Married,Y,Professional,1Low,Renter,Northeast,1,J
N,M,0. lessHS,170040,4upto45,N,G,Single,Y,Blue Collar,2Med,Owner,West,7,B
Y,M,1. HS,276347,3upto35,Y,F,Single,Y,Blue Collar,1Low,Owner,South,3,E
Y,M,2. Some College,1019389,4upto45,Y,C,,Y,Professional,1Low,Owner,South,1,H
Y,M,2. Some College,575356,2upto25,N,C,,Y,Professional,2Med,Owner,West,3,G
Y,M,4. Grad,282582,1_Unk,Y,B,,U,Sales/Service,1Low,Owner,Midwest,3,G
Y,F,1. HS,113076,1_Unk,Y,F,,N,Others,1Low,Owner,Midwest,3,E
N,F,1. HS,258918,7above65,Y,E,,N,Retired,1Low,Owner,South,2,E
N,M,3. Bach,91233,4upto45,Y,J,Married,Y,Blue Collar,1Low,Owner,Midwest,5,D
Y,M,,0,1_Unk,Y,E,Single,Y,Professional,1Low,Renter,Northeast,2,G
Y,F,3. Bach,306944,6upto65,Y,B,,N,Professional,2Med,Owner,South,2,F
Y,M,4. Grad,350020,3upto35,N,E,Married,Y,Blue Collar,3High,Owner,Northeast,3,E
N,F,2. Some College,0,3upto35,Y,G,,N,Sales/Service,1Low,Renter,West,5,A
N,F,2. Some College,438915,7above65,N,D,Married,N,Retired,1Low,Owner,South,2,A
N,F,1. HS,0,4upto45,N,F,Married,U,Others,1Low,Owner,South,8,F
N,F,0. lessHS,0,1_Unk,N,G,Single,Y,Retired,1Low,Renter,South,9,B
N,M,3. Bach,342129,3upto35,Y,E,,Y,Blue Collar,1Low,Owner,Northeast,3,D
N,M,2. Some College,386280,4upto45,N,C,Married,Y,Blue Collar,1Low,Owner,Midwest,1,G
N,M,4. Grad,238928,7above65,Y,B,Married,N,Retired,1Low,Owner,Midwest,2,G
Y,F,0. lessHS,568980,4upto45,Y,B,Married,U,Professional,3High,Owner,Midwest,1,I
N,F,3. Bach,215820,4upto45,Y,B,Married,Y,Blue Collar,1Low,Owner,South,4,F
Y,F,3. Bach,496386,3upto35,Y,B,Single,U,Sales/Service,1Low,Owner,South,1,E
Y,M,2. Some College,95462,5upto55,N,F,,N,Professional,1Low,Owner,Midwest,8,C
Y,M,3. Bach,417644,6upto65,Y,B,Married,N,Sales/Service,2Med,Owner,Northeast,1,K
N,M,2. Some College,283015,4upto45,N,E,Married,U,Blue Collar,1Low,,South,3,G
Y,F,2. Some College,155325,1_Unk,Y,F,Married,Y,Sales/Service,1Low,,Midwest,7,D
N,M,1. HS,83930,5upto55,N,I,Married,N,Others,1Low,Owner,Midwest,7,E
N,M,1. HS,414799,5upto55,N,E,Single,N,Blue Collar,1Low,Owner,Midwest,2,B
Y,M,3. Bach,252880,4upto45,Y,G,Single,U,Blue Collar,1Low,Renter,West,5,H
N,M,1. HS,0,7above65,N,D,Married,N,Retired,1Low,Owner,Northeast,2,H
Y,M,1. HS,0,1_Unk,N,G,Single,N,Sales/Service,1Low,Renter,Midwest,9,C
Y,F,0. lessHS,221815,5upto55,Y,E,Married,Y,Professional,2Med,Owner,South,1,F
Y,F,3. Bach,275900,5upto55,Y,C,Married,Y,Professional,1Low,Owner,West,3,E
N,F,1. HS,113220,7above65,Y,B,,N,Retired,1Low,Owner,South,2,G
N,F,1. HS,113932,3upto35,Y,E,,N,Sales/Service,1Low,Owner,Midwest,5,D
Y,F,4. Grad,117022,6upto65,Y,E,Married,U,Retired,1Low,Owner,South,3,E
N,U,4. Grad,177125,1_Unk,N,F,,U,Sales/Service,2Med,Owner,West,7,G
N,F,4. Grad,0,3upto35,N,F,Married,Y,Others,1Low,Owner,Midwest,4,E
Y,F,3. Bach,299303,2upto25,Y,C,,Y,Professional,3High,Owner,South,1,G
Y,M,0. lessHS,1064548,3upto35,N,B,Married,N,Sales/Service,3High,Owner,West,1,L
N,F,2. Some College,599500,2upto25,Y,B,,N,Blue Collar,3High,Owner,West,1,F
N,M,0. lessHS,174356,6upto65,N,E,,N,Others,1Low,Owner,South,2,D
N,M,4. Grad,150318,3upto35,Y,E,Married,U,Others,1Low,Renter,West,8,E
N,F,1. HS,0,5upto55,N,D,,N,Others,1Low,,West,7,D
Y,M,1. HS,197072,6upto65,Y,F,,Y,Sales/Service,2Med,Owner,West,7,F
N,F,2. Some College,159706,5upto55,Y,D,,N,Professional,1Low,Owner,South,3,B
N,F,1. HS,321942,5upto55,Y,F,,Y,Sales/Service,1Low,Renter,Northeast,3,D
Y,M,4. Grad,548379,5upto55,Y,B,Married,N,Professional,1Low,Owner,Midwest,2,J
Y,M,4. Grad,1096137,3upto35,Y,C,Married,Y,Blue Collar,3High,Owner,Midwest,1,G
N,F,1. HS,0,1_Unk,Y,C,Married,U,Sales/Service,1Low,Owner,West,9,E
Y,M,2. Some College,0,6upto65,Y,E,Single,N,Professional,1Low,Renter,Northeast,3,B
N,F,0. lessHS,23805,7above65,Y,G,,U,Retired,1Low,Renter,Northeast,4,D
N,M,2. Some College,0,5upto55,Y,E,Married,Y,Professional,1Low,Owner,Midwest,1,E
Y,F,1. HS,357116,5upto55,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,2,H
Y,M,4. Grad,507405,5upto55,Y,C,Married,Y,Professional,2Med,Owner,South,1,J
N,F,1. HS,148681,5upto55,Y,G,,Y,Professional,1Low,Renter,South,2,E
N,M,2. Some College,156469,5upto55,Y,F,,N,Sales/Service,2Med,Owner,South,3,F
